,precio-dto,precio-lista,descripcion
232,,"$ 83,40",Agua mineral Smartwater sin gas 591 cc.
233,,"$ 83,40",Agua mineral Smartwater con gas 591 cc.
234,,"$ 70,60",Agua mineral con gas Eco de los Andes 500 cc.
235,,"$ 179,85",Bebida isotónica Gatorade manzana 1.25 l.
236,,"$ 179,85",Bebida isotónica Gatorade cool blue 1.25 l.
237,,"$ 179,85",Bebida isotónica Gatorade naranja 1.25 l.
238,,"$ 72,60",Gaseosa Paso de los Toros pomelo 500 cc.
239,,"$ 73,10",Agua mineralizada sin gas Glaciar bajo sodio 500 cc.
240,,"$ 147,35",Cerveza rubia Brahma 1 l.
241,,"$ 149,10",Sidra sin alcohol Fiesta de los niños multifruta pixar 1 l.
242,,"$ 150,00",Ades soja + jugo de manzana 1 l.
243,,"$ 75,00",Gaseosa cola Pepsi regular 500 c.
244,,"$ 150,00",Ades soja + jugo de frutas tropicales 1 l.
245,,"$ 75,00",Gaseosa 7 Up lima limón 500 cc.
246,,"$ 150,00",Ades soja + jugo de naranja 1 l.
247,,"$ 75,00",Gaseosa Mirinda naranja 500 cc.
248,,"$ 24,90",Jugo en polvo Rinde Dos naranja vitamina C 15 g.
249,,"$ 23,00",Jugo en polvo naranja mango cero Rinde Dos 15 g.
250,,"$ 153,72",Vino tinto tetra flex afa cadenas Toro 1 l.
251,"$ 144,00","$ 160,00",Vino tinto Pico de Oro 1 l.
252,"$ 144,00","$ 160,00",Vino blanco Pico de Oro 1 l.
253,,"$ 155,03",Vino blanco tetra flex afa cadenas Toro 1 l.
254,,"$ 77,60",Bebida isotónica Powerade frutas tropicales 500 cc.
255,,"$ 77,60",Bebida isotónica Powerade manzana 500 cc.
256,"$ 58,50","$ 78,00",Agua saborizada Aquarius manzana 500 cc.
257,"$ 58,50","$ 78,00",Agua saborizada Aquarius pomelo 500 cc.
258,,"$ 168,95",Vino rosado Pico de Oro 1 l.
259,,"$ 157,70",Jugo limonada con menta Citric tetra 1 l.
260,,"$ 157,70",Jugo pomelo con menta y jengibre Citric tetra 1 l.
261,,"$ 171,70",Vino blanco Concilio brick 1 l.
262,,"$ 171,70",Vino tinto Concilio brick 1 l.
263,,"$ 171,70",Vino rosado Concilio brick 1 l.
264,,"$ 79,50",Jugo Cepita del valle fresh pomelo 500 cc.
265,,"$ 79,54",Jugo Cepita del valle fresh naranja 500 cc.
266,,"$ 320,00",Jugo Purosol de naranja 2 l.
267,,"$ 163,20",Cerveza blanca Iguana botella 1 l.
268,,"$ 82,00",Gaseosa Fanta sin azúcar naranja 500 cc.
269,"$ 149,40","$ 166,00",Vino blanco Pico de Oro dulce brik 1 l.
270,,"$ 83,10",Gaseosa Sprite sin azúcares lima limón 500 cc.
271,"$ 62,32","$ 83,10",Agua saborizada Aquarius pera 500 cc.
272,,"$ 83,20",Agua mineral sin gas Villavicencio 500 cc.
273,,"$ 253,70",Jugo arándanos Rincón de Vida botella 1.5 l.
274,,"$ 170,00",Jugo de naranja Purosol 1 l.
275,,"$ 173,60",Cerveza negra Quilmes bock 1 l.
276,,"$ 87,00",Gaseosa Fanta limón 500 cc.
277,"$ 65,48","$ 87,30",Agua saborizada Villa del Sur levité ananá sin gas pet 500 cc.
278,"$ 140,08","$ 175,10",Cerveza blanca Amstel lager botella 1 l.
279,,"$ 31,70",Jugo en polvo Tang naranja dulce vitamina C + D 18 g.
280,,"$ 31,70",Jugo en polvo Tang manzana vitamina C + D 18 g.
281,,"$ 31,70",Jugo en polvo Tang pomelo rosado vitamina C y D 18 g.
282,,"$ 31,70",Jugo en polvo Tang pera vitamina C y D 18 g.
283,,"$ 31,70",Jugo en polvo Tang naranja vitamina C + D 18 g.
284,,"$ 31,70",Jugo en polvo Tang naranja durazno vitamina C + D 18 g.
285,,"$ 31,70",Jugo en polvo Tang naranja banana vitamina C y D 18 g.
286,,"$ 88,70",Agua mineral con gas Villavicencio 500 cc.
287,,"$ 133,75",Bebida isotónica Gatorade manzana 750 cc.
288,,"$ 133,75",Bebida isotónica Gatorade frutas tropicales 750 cc.
289,,"$ 91,96",Gaseosa Fanta naranja 500 cc.
290,,"$ 184,30",Cerveza rubia Warsteiner retornable 1 l.
291,,"$ 175,74",Aperitivo americano Marcela botella 950 cc.
292,,"$ 18,50",Jugo en polvo Carrefour naranja dulce 10 g.
293,,"$ 18,50",Jugo en polvo Carrefour rosado pomelo 10 g.
294,,"$ 18,50",Jugo en polvo Carrefour ananá 10 g.
295,,"$ 65,85",Gaseosa cola regular Pepsi lata 354 cc.
296,,"$ 65,85",Gaseosa 7 Up Lima Limón regular lata 354 cc.
297,,"$ 94,00",Gaseosa Coca Cola sabor original 500 cc.
298,,"$ 94,00",Gaseosa Coca Cola light 500 cc.
299,,"$ 94,00",Gaseosa Sprite lima limón 500 cc.
300,,"$ 90,17",Cerveza rubia Quilmes 473 cc.
301,"$ 176,40","$ 196,00",Vino tinto Toro dulce brick 1 l.
302,,"$ 93,30",Cerveza rubia Schneider 473 cc.
303,,"$ 197,85",Cerveza rubia Budweiser 1 l.
304,,"$ 49,55",Gaseosa Pepsi black 250 cc.
305,,"$ 49,55",Gaseosa Paso De Los Toros pomelo regular pet 250 cc.
306,"$ 85,32","$ 94,80",Bebida base soda vino rojo Torino lata 473 ml.
307,,"$ 53,95",Gaseosa Paso de los Toros tónica lata 269 cc.
308,,"$ 53,95",Gaseosa Paso de los Toros pomelo lata 269 cc.
309,"$ 75,60","$ 100,80",Agua saborizada Villa del Sur Levité pomelo 500 cc.
310,"$ 75,60","$ 100,80",Agua saborizada Villa del Sur Levité manzana 500 cc.
311,"$ 75,60","$ 100,80",Agua saborizada Villa del Sur Levité Cero pomelo 500 cc.
312,"$ 75,60","$ 100,80",Agua saborizada Villa del Sur Levité naranja 500 cc.
313,"$ 75,60","$ 100,80",Agua saborizada Villa del Sur Levité Cero manzana 500 cc.
314,"$ 75,60","$ 100,80",Agua saborizada Villa del Sur Levité pera 500 cc.
315,"$ 75,60","$ 100,80",Agua saborizada Villa del Sur Levité Cero naranja 500 cc.
316,,"$ 207,00",Vino blanco Termidor 2021 1 l.
317,,"$ 207,00",Vino tinto Termidor 2021 1 l.
318,,"$ 76,60",Gaseosa Coca Cola sabor original lata 354 cc.
319,,"$ 108,65",Bebida isotónica Gatorade manzana 500 cc.
320,,"$ 108,65",Bebida isotónica Gatorade uva 500 cc.
321,,"$ 108,65",Bebida isotónica Gatorade cool blue 500 cc.
322,,"$ 108,65",Bebida isotónica Gatorade naranja 500 cc.
323,,"$ 77,00",Gaseosa Coca-Cola sin azúcar 354 cc.
324,,"$ 77,00",Gaseosa Schweppes sin azúcar pomelo 354 cc.
325,,"$ 77,00",Gaseosa Sprite lima limón lata 354 cc.
326,,"$ 74,09",Cerveza roja Andes Origen retornable 340 cc.
327,"$ 50,83","$ 78,20",Gaseosa Schweppes tónica 354 cc.
328,,"$ 78,20",Gaseosa Fanta naranja lata 354 cc.
329,,"$ 78,20",Gaseosa Sprite lima limón sin azúcar lata 354 cc.
330,,"$ 221,30",Jugo Citric naranja sin pulpa 1 l.
331,,"$ 221,30",Jugo Citric manzana 1 l.
332,,"$ 105,00",Frizante Frizze pomelata italian lata 473 cc.
333,,"$ 640,00",Cerveza blanca Quilmes sin alcohol 473 cc. 6 u.
334,,"$ 68,15",Isotónica Gatorade cool blue 300 cc.
335,,"$ 228,50",Cerveza rubia Imperial golden 1 l.
336,,"$ 651,00",Cerveza negra Quilmes stout 6 x 473 cc.
337,,"$ 651,00",Cerveza roja Quilmes red lager 6 u. x 473 cc.
338,,"$ 46,00",Jugo Cepita del valle naranja 200 cc.
339,,"$ 46,00",Jugo Cepita del Valle manzana 200 cc.
340,,"$ 46,00",Jugo Cepita del Valle multifruta 200 cc.
341,,"$ 116,45",Bebida energizante Rockstar bot 500 cc.
342,,"$ 235,00",Cerveza rubia lager Imperial 1 l.
343,"$ 198,00","$ 220,00",Vino moscato Crotta 930 cc.
344,,"$ 237,80",Cerveza rubia Andes Origen 1 l.
345,"$ 182,25","$ 243,00",Cerveza blanca Salta cautiva retornable botella 1 l.
346,"$ 182,25","$ 243,00",Cerveza roja Salta cautiva retornable botella 1 l.
347,,"$ 244,00",Aperitivo Dr. Lemon vodka 1 l.
348,,"$ 244,00",Aperitivo Dr. Lemon lemon 1 l.
349,,"$ 244,00",Aperitivo Dr. Lemon vodka + pomelo 1 l.
350,,"$ 173,30",Cerveza rubia Schneider 710 cc.
351,"$ 196,00","$ 245,00",Cerveza rubia Miller 1 l.
352,,"$ 184,13",Vino tinto cabernet sauvignon Colón 750 cc.
353,,"$ 18,50",Jugo en polvo Carrefour manzana deliciosa 7.5 g.
354,"$ 93,36","$ 116,70",Cerveza blanca Amstel lager lata 473 cc.
355,,"$ 125,00",Cerveza pilsener Mecklenburger 500 cc.
356,"$ 226,80","$ 252,00",Frizante italian limonata Frizze 1 l.
357,"$ 226,80","$ 252,00",Frizante Frizze italian pomelata 1 l.
358,,"$ 119,40",Aperitivo shake Pronto 473 cc.
359,,"$ 379,00",Jugo Citric de naranja clásica tetra 1.5 l.
360,,"$ 253,00",Jugo concentrado limón 100% Juvin pet 1 l.
361,,"$ 113,00",Cerveza rubia Warsteiner 473 cc.
362,,"$ 761,00",Jugo Citric de naranja clásica tetra 3 l.
363,,"$ 120,60",Cerveza rubia Brahma 473 cc.
364,,"$ 255,90",Cerveza blanca Quilmes doble malta botella 1 l.
365,"$ 261,00","$ 290,00",Vino tinto Viñas de Alvear 1.125 l.
366,"$ 261,00","$ 290,00",Vino blanco Viñas de Alvear 1.125 l.
367,"$ 196,50","$ 262,00",Jugo Citric de naranja clásica tetra 1 l.
368,,"$ 124,30",Cerveza rubia Imperial golden 473 cc.
369,,"$ 87,00",Cerveza rubia Mecklenburger pilsener 330 cc.
370,,"$ 199,02",Vino blanco Cuesta Del Madero 750 cc.
371,"$ 269,10","$ 299,00",Vino tinto Resero edición especial 1125 cc.
372,"$ 113,76","$ 126,40",Frizante Frizze blue evolution lata 473 cc.
373,"$ 182,70","$ 203,00",Vino tinto Toro clásico 750 cc.
